Time (-),FRC-01 [kN],FRC-02 [kN]
2022-11-04 08:41:00.637,244.618046875,243.889359375
2022-11-04 08:41:00.647,244.66034375,243.892734375
2022-11-04 08:41:00.657,244.651875,243.8735625
2022-11-04 08:41:00.667,244.617484375,243.896109375
2022-11-04 08:41:00.677,244.63553125,243.850453125
2022-11-04 08:41:00.687,244.63778125,243.88090625
2022-11-04 08:41:00.697,244.672171875,243.874125
2022-11-04 08:41:00.707,244.646234375,243.844265625
2022-11-04 08:41:00.717,244.590984375,243.82284375
2022-11-04 08:41:00.727,244.612984375,243.87753125
2022-11-04 08:41:00.737,244.6236875,243.859484375
2022-11-04 08:41:00.747,244.6259375,243.833
2022-11-04 08:41:00.757,244.589859375,243.850453125
2022-11-04 08:41:00.767,244.66146875,243.8375
2022-11-04 08:41:00.777,244.648484375,243.8735625
2022-11-04 08:41:00.787,244.63215625,243.8668125
2022-11-04 08:41:00.797,244.642859375,243.8324375
2022-11-04 08:41:00.807,244.6535625,243.842578125
2022-11-04 08:41:00.817,244.63496875,243.853296875
2022-11-04 08:41:00.827,244.579703125,243.8645625
2022-11-04 08:41:00.837,244.6281875,243.88090625
2022-11-04 08:41:00.847,244.627625,243.86625
2022-11-04 08:41:00.857,244.625375,243.87584375
2022-11-04 08:41:00.867,244.640046875,243.849328125
2022-11-04 08:41:00.877,244.6490625,243.87921875
2022-11-04 08:41:00.887,244.643984375,243.851578125
2022-11-04 08:41:00.897,244.63440625,243.87978125
2022-11-04 08:41:00.907,244.613546875,243.886546875
2022-11-04 08:41:00.917,244.66203125,243.854421875
2022-11-04 08:41:00.927,244.65865625,243.88540625
2022-11-04 08:41:00.937,244.656953125,243.86625
2022-11-04 08:41:00.947,244.63834375,243.88371875
2022-11-04 08:41:00.957,244.644546875,243.828484375
2022-11-04 08:41:00.967,244.655828125,243.83975
2022-11-04 08:41:00.977,244.622,243.862296875
2022-11-04 08:41:00.987,244.6203125,243.856671875
2022-11-04 08:41:00.997,244.618046875,243.845953125
2022-11-04 08:41:01.007,244.63046875,243.92825
2022-11-04 08:41:01.017,244.63328125,243.8746875
2022-11-04 08:41:01.027,244.5971875,243.87075
2022-11-04 08:41:01.037,244.646796875,243.851015625
2022-11-04 08:41:01.047,244.63215625,243.852734375
2022-11-04 08:41:01.057,244.63496875,243.8746875
2022-11-04 08:41:01.067,244.646234375,243.874125
2022-11-04 08:41:01.077,244.65978125,243.853859375
2022-11-04 08:41:01.087,244.63384375,243.893859375
2022-11-04 08:41:01.097,244.615234375,243.850453125
2022-11-04 08:41:01.107,244.63665625,243.853859375
2022-11-04 08:41:01.117,244.616921875,243.857796875
2022-11-04 08:41:01.127,244.681203125,243.88146875
2022-11-04 08:41:01.137,244.605078125,243.858921875
2022-11-04 08:41:01.147,244.63271875,243.854984375
2022-11-04 08:41:01.157,244.6513125,243.904578125
2022-11-04 08:41:01.167,244.643421875,243.854421875
2022-11-04 08:41:01.177,244.612421875,243.88484375
2022-11-04 08:41:01.187,244.68796875,243.87075
2022-11-04 08:41:01.197,244.678953125,243.849328125
2022-11-04 08:41:01.207,244.63328125,243.850453125
2022-11-04 08:41:01.217,244.654703125,243.854421875
2022-11-04 08:41:01.227,244.598875,243.874125
2022-11-04 08:41:01.237,244.6225625,243.814953125
2022-11-04 08:41:01.247,244.63159375,243.857234375
2022-11-04 08:41:01.257,244.603953125,243.834125
2022-11-04 08:41:01.267,244.610140625,243.8403125
2022-11-04 08:41:01.277,244.6203125,243.8380625
2022-11-04 08:41:01.287,244.6281875,243.8668125
2022-11-04 08:41:01.297,244.602828125,243.898390625
2022-11-04 08:41:01.307,244.618046875,243.843140625
2022-11-04 08:41:01.317,244.62990625,243.893859375
2022-11-04 08:41:01.327,244.658078125,243.863421875
2022-11-04 08:41:01.337,244.63834375,243.8391875
2022-11-04 08:41:01.347,244.606203125,243.8369375
2022-11-04 08:41:01.357,244.646234375,243.900640625
2022-11-04 08:41:01.367,244.627625,243.840875
2022-11-04 08:41:01.377,244.602828125,243.847078125
2022-11-04 08:41:01.387,244.63159375,243.87865625
2022-11-04 08:41:01.397,244.589296875,243.87528125
2022-11-04 08:41:01.407,244.6513125,243.857796875
2022-11-04 08:41:01.417,244.6225625,243.8313125
2022-11-04 08:41:01.427,244.642296875,243.865125
2022-11-04 08:41:01.437,244.641171875,243.854421875
2022-11-04 08:41:01.447,244.610734375,243.88484375
2022-11-04 08:41:01.457,244.62875,243.8656875
2022-11-04 08:41:01.467,244.6203125,243.887671875
2022-11-04 08:41:01.477,244.617484375,243.856109375
2022-11-04 08:41:01.487,244.63328125,243.88315625
2022-11-04 08:41:01.497,244.618046875,243.88484375
2022-11-04 08:41:01.507,244.63496875,243.874125
2022-11-04 08:41:01.517,244.647359375,243.81946875
2022-11-04 08:41:01.527,244.6259375,243.8735625
2022-11-04 08:41:01.537,244.6,243.86625
2022-11-04 08:41:01.547,244.616921875,243.889359375
2022-11-04 08:41:01.557,244.604515625,243.891609375
2022-11-04 08:41:01.567,244.63665625,243.8685
2022-11-04 08:41:01.577,244.606203125,243.888234375
2022-11-04 08:41:01.587,244.6225625,243.8679375
2022-11-04 08:41:01.597,244.63609375,243.87584375
2022-11-04 08:41:01.607,244.63271875,243.88090625
2022-11-04 08:41:01.617,244.601140625,243.9209375
2022-11-04 08:41:01.627,244.618609375,243.88034375
2022-11-04 08:41:01.637,244.610734375,243.860046875
2022-11-04 08:41:01.647,244.63103125,243.890484375
